type,name,label::English,label::Dari,label::Pashto,hint::English,hint::Dari,hint::Pashto,required,relevant,choice_filter,appearance,constraint,constraint_message::English,constraint_message::Dari,constraint_message::Pashto,repeat_count,calculation,media::image
select_one region_list,region,In which region is the interview taking place?,?????? ?? ???? ??? ???? ?????,???? ?? ??? ??? ?? ????? ?????,,,,TRUE,"selected(${consent}, ""yes"")",,,,,,,,,
select_one province_list,province,In which province is the interview taking place?,?????? ?? ???? ????? ???? ??????,???? ?? ??? ????? ?? ????? ?????,,,,TRUE,"selected(${consent}, ""yes"")",region = ${region},,,,,,,,
select_one district_list,district,In which district is the interview taking place?,?????? ?? ???? ??????? ???? ??????,???? ?? ???? ??????? ?? ????? ?????,,,,TRUE,"selected(${consent}, ""yes"")",province = ${province},,,,,,,,
select_one village_list,village,In which village is the interview taking place?,?????? ?? ???? ???? ???? ?????,???? ?? ??? ??? ?? ????? ?????,,,,TRUE,"selected(${consent}, ""yes"")",district = ${district},search,,,,,,,
text,village_other,In which village is the interview taking place?,?????? ?? ???? ???? ???? ?????,???? ?? ??? ??? ?? ????? ?????,"Other, please specify:","????, ???? ???? ????",???? ??????? ???? ???? ?? ???:,TRUE,"selected(${village}, ""other"")",,,,,,,,,
calculate,enumerator_uuid,,,,,,,,,,,,,,,,"concat(${organisation_final}, ""-"", ${province}, ""-"", ${enumerator})",
calculate,survey_village,,,,,,,,,,,,,,,,"if(${village} = ""other"", ${village_other}, ${village})",
select_one yn_list,urban,"Is the interview taking place in an urban area, which is densely populated?",??? ?????? ?? ????? ???? ?? ???? ???? ??????,??? ???? ????? ???? ???? ?? ????? ???? ?? ??? ???? ????,,,,TRUE,"selected(${consent}, ""yes"")",,,,,,,,,
select_one yn_list,informal_settlement,"Is the interview taking place in an informal settlement, where a group of households do not have an official permission to live or build?",??? ?????? ?? ????? ??? ???? (???) ???? ??????? ????? ??????? ?? ????? ???? ???? ???? ?????? ? ????? ?? ?? ???????,??? ???? ????? ??????? ???????? ?? ????? ????? ????? ?? ? ?????  ? ???? ???? ?? ? ????? ???? ????? ???? ????? ?????,,,,TRUE,"selected(${consent}, ""yes"")",,,,,,,,,
select_one yn_list,follow_up_consent,Do you agree to be contacted for any follow up questions regarding this assessment?,??? ??? ????? ????? ?? ?? ???? ??? ??????? ?? ???? ????? ???? ????? ??? ?? ???? ?????,??? ???? ???? ?? ?? ? ?? ?????? ?? ??? ? ?????? ?????? ????? ?? ???? ??? ????? ????? ???,,,,TRUE,"selected(${consent}, ""yes"")",,,,,,,,,
text,respondent_telephone,What is a telephone number we can contact you at if we have any further questions?,????? ????? ???? ?????,? ???? ???????? ? ?????? ????? ?? ???,Put -99 if the respondent does not want to provide a telephone number or does not have one., ?? ???? ???? ?? ??????? ????? ???? ????? ?? ???? ?????? 10 ???? ??? ????? ????,?? ????? ???? ???????? ? ????? ????? ???? ?? ?? ?? ????? ?? ? ????? ????? ????? ?? ??? ??? ????? ??? ?????,TRUE,"selected(${follow_up_consent}, ""yes"")",,numbers,"regex(., ""^[0-9]{1}[0-9]{9}$"") or . = -99",Must be a valid 10-digit Afghanistan telephone number,????? ???? ???? 10 ???? ???? ? ????? ????????? ????,????? ???? ?? ??? ?????? ? ????????? ??????? ???? ??. ,,,
end group,,,,,,,,,,,,,,,,,,
begin group,B,Displacement & Impact,???? ??? ? ??????? ??,?????? ????? ?? ?????,,,,,"selected(${consent}, ""yes"")",,,,,,,,,
note,displacement_note,"Note: In the next section we will talk about past movements within Afghanistan and/or to  other countries. Please answer the questions, considering the expeirence of the majority of the household, not just the one of the household head. ",??????:  ??  ?? ??? ???? ?? ???? ?????? ?? ?? ???? ????????? ? ?? ???? ??? ????  ???? ??????? ????  ?? ???? ?? ????? ?????? ??? ???????  ?????? ?? ???? ?????? ?? ???? ?? ?????? ???????.,??????: ?? ???????? ???? ?? ?? ??? ?? ???? ? ????????? ?? ?? ???? ???????? ?? ? ?????????  ?? ??? ???? ????. ??????? ???? ?????? ?? ???? ?????? ?  ????? ? ?????? ??? ? ????? ?? ??? ?? ????? ???? ?? ????? ? ????? ???.,,,,,,,,,,,,,,
select_one yn_list,refugees,Are the majority of the household members non-Afghan nationals that were forced to flee from Pakistan to Afghanistan (due to conflict or natural disaster)?,??? ??????? ????? ??????? ??? ????? ????? ?? ?? ???? ??? ? ???? ????? ????? ?? ???? ??? ??????? ?? ????????? ?????? ????,??? ? ????? ???? ??? ??? ????? ????? ?? ?? ?? ??????? ??? ????????? ?? ?? ??????? ????? ??? (? ???? ?? ????? ???? ?? ????)?,,,,TRUE,,,,"not(selected(., ""yes"") and not(selected(${province},""khost"") or selected(${province},""paktika"")))","Refugees are not relevant for this province. Are you sure this is a refugee household? If yes, please interview a different household.",?????????  ????? ?? ??? ????? ??????. ??? ????? ???? ?? ??? ?? ??????? ??????? ???? ??? ???? ???? ?? ??????? ????? ?????? ????,??????? (???? ????????) ??? ????? ????? ??? ?????. ??? ????? ???? ?? ???? ? ?????? ????? ??? ???? ???? ?? ?? ?? ??????? ??? ? ??? ????? ??? ???? ???? ,,,
select_one yn_list,area_origin,"Is the current home of the household (where the interview is taking place), the area of origin of the majority of the household members?",??? ???? ???? ?? ??????? ?? ?? ????? ????? (????? ?????? ?? ?? ???? ??????) ??? ???? ????? ?????? ??????? ????,??? ? ????? ????? ??? (???? ?? ???? ????? ????)? ? ????? ? ???? ??? ???? ???? ???,,,,TRUE,"selected(${refugees}, ""no"")",,,,,,,,,
select_one displacement_list,displacement,"Have the majority of the household members been previously forced to displace, and since returned to their area of origin?",??? ???? ????? ??????? ???? ????? ?????? ????? ?? ???? ???? ??? ????? ? ?????? ?? ????? ???? ??? ??????? ? ,??? ? ????? ???? ??? ???? ?? ???? ???? ??? ?????? ???? ?? ?? ???? ?? ??? ?????? ????? ??? ???? ??? ?? ??????? ????,,,,TRUE,"selected(${area_origin}, ""yes"")",,,"not(selected(., ""idp_returnees"") and not(selected(${province},""badghis"")))","Internally displaced returnees are not relevant for this province. Are you sure this is an internally displaced returnee household? if yes, please interview another household.","???? ??????? ????? ????? ??? ????? ??????. ??? ??? ????? ????? ?? ??? ??????? ???? ????? ????? ???? ??? ??? ??? ????? ?? ??????? ???? ?????? ????
","?????? ?? ????? ??? ?????? ???? ??? ????? ?? ???? ?? ??? ???. ??? ???? ????? ???? ?? ?? ??? ????? ?? ???? ??? ????? ??? ?? ??? ??????? ???? ? ??? ????? ??? ???? ????
",,,
select_one external_displacement_list,external_displacement,"Have the majority of the household members been previously forced to leave Afghanistan and go to another country, and since returned to Afghanistan?",??? ???? ????? ??????? ???? ????? ?? ??? ????????? ???? ???? ?? ???? ????? ??? ????? ? ???? ?????? ?? ????????? ????? ??????,??? ? ????? ???? ??? ???? ????? ??? ?? ????????? ?????? ?? ?? ????? ?? ??? ??? ?? ?? ??? ?????? ????????? ?? ??????? ????,,,,TRUE,"selected(${area_origin}, ""no"")",,,,,,,,,
select_one displaced_returnees_list,displaced_returnees,"Since their return to Afghanistan, has the majority of the household always resided in the current location (where the interview is taking place), or have they since been displaced within Afghanistan again?","?? ???? ????? ??? ?? ?????????, ??? ?????? ????? ??????? ?? ????? ???? ????? ????? ( ????? ?????? ???? ?????? )? ? ?? ???? ?????? ?? ???? ????????? ???? ???? ?",????????? ?? ?? ???????? ????????? ??? ?????? ????? ?? ?????? ?????? ?? ???? ??? (????? ?? ???? ????? ????)? ?? ??? ??? ??? ?? ????????? ?? ?????? ????,,,,TRUE,"selected(${external_displacement}, ""yes"")",,,,,,,,,
calculate,displacement_status,,,,,,,,,,,,,,,,"if(${refugees} = ""yes"", ""refugees"", if(${area_origin} = ""yes"", if(${displacement} = ""cross_border_returnees"", ""cross_border_returnees"", if(${displacement} = ""idp_returnees"", ""idp_returnees"", ""non_displaced"")), if(${external_displacement} = ""idp"", ""idp"", if(${displaced_returnees} = ""idp"", ""idp"", ""cross_border_returnees""))))",
select_one yn_list,prev_displacement,"Aside from your most recent displacement to your current location (either from another country or within Afghanistan), has the majority of your household been forcibly displaced before this as well?",??? ?? ???? ???? ???? ??? ?? ????? ????. ( ?? ?? ???? ???? ?? ?? ???? ??? ????????? ) ??? ????? ??????? ??? ????? ????? ??? ?? ??? ??  ???? ??? ???? ?,????? ??? ?? ????? ?? ? ?? ?????? ????? ????? (? ?? ????? ??? ?? ?? ?? ?? ???? ? ????????? ??)? ??? ????? ?????? ????? ???? ?? ?? ?? ?? ??? ?????? ??? ???,,,,TRUE,"not(selected(${displacement}, ""non_displaced""))",,,,,,,,,
integer,prev_displacement_num,"How many times has your household been forcibly displaced within Afghanistan or to another country, including your most recent displacement to your current location?","??? ???, ??? ???? ??????? ??? ????? ????? ?? ???? ????????? ?? ????? ?? ???? ???? ??? ???? ????? ???????? ???? ???", ?? ??? ????? ????? ? ????????? ?? ???? ?? ?? ?? ?? ????? ?? ?? ??? ?????? ???? ????? ????? ??? ?? ? ???? ?????? ???? ?? ?????,,,,TRUE,"selected(${prev_displacement}, ""yes"")",,,. >= 2 and . <= 30,Number of times displaced must be between 2 and 30.,????? ????? ???? ???? ???? ??? 2 ? 30 ????,? ?????? ????? ???? ???? ? ? ?? ?? ?? ??? ??. ,,,
begin group,b1,Non-displaced households,??????? ??? ???? ????,??? ?????? ??? ?????,,,,,"${displacement_status} = ""non_displaced""",,,,,,,,,
select_one yn_list,host_community,Do you live in a community that hosts displaced households? ,??? ?? ????? ??? ????? ??????? ???? ?????,??? ????? ?? ???? ?? ?????? ??? ????? ???? ????,,,,TRUE,,,,,,,,,,
select_one yn_list,host_hh,Does your household host displaced individuals within your household? ,??? ??? ????? ?? ?? ??????? ???? ??? ?? ?? ???? ???? ??? ???? ???? ???? ,??? ????? ????? ?????? ??? ????? ?? ???? ??? ?? ??? ?????? ,,,,TRUE,"selected(${host_community}, ""yes"")",,,,,,,,,
integer,host_hh_num,"If yes, how many displaced individuals do you host in your household?","??? ???, ??? ?? ????? ???? ??? ?? ?? ???? ??? ??????? ???????",?? ??? ????? ?????? ??? ????? ?? ???? ???? ??? ?? ??? ??????,,,,TRUE,"selected(${host_hh}, ""yes"")",,,. >= 1 and . <= 6,Number of displaced individuals hosted must be between 1 and 30.,????? ????? ???????? ???? ?? ?? ???? ??? ????? ???? ???? ??? 1 ?? 30 ???? ,? ?????? ??????? ?????? ????? ??? ???? ? ? ?? ?? ?? ??? ??.,,,
end group,,,,,,,,,,,,,,,,,,
begin group,b2,Refugee households,??????? ??? ???????,???????? ?????,,,,,"${displacement_status} = ""refugees""",,,,,,,,,
select_one season_list,refugee_displace_season,In which season did your household leave its country of origin to seek refuge in Afghanistan? ,?? ???? ??? ??????? ???  ???? ???? ??? ?? ????? ???????? ?? ???????? ??? ???? ,????? ????? ?????? ??? ?? ??? ??? ?? ????? ??? ?? ??? ???? ????? ?????? ?? ????????? ?? ????? ???? ,,,,TRUE,,,,,,,,,,
integer,refugee_displace_year,How many years ago did your household leave its country of origin to seek refuge in Afghanistan?,??? ??? ??? ??????? ???  ????? ???? ???? ?? ????? ???????? ?? ???????? ??? ??? ???,????? ????? ?????? ??? ?? ???? ????  ????? ??? ?? ??? ???? ????? ?????? ?? ????????? ?? ????? ???? ,"If it was the most recent ${refugee_displace_season}, then put 0, then add 1 for each previous year. The current summer counts as the most recent summer.",??? ????? ( ?????_ ???? ???_ ???) ???? ??? ?? 0 ??? ????? ? ???? ??? 1 ?? ???? ?? ??? ??? ????? ??????. ??????? ???? ????? ??????? ????? ?????,?? ??? ??? ???? ??????? ??? ?? ${refugee_displace_season}? ?? 0 ?????? ?????? ??? ? ?? ????? ??? ????? 1 ?????. ????? ???? ?? ???? ??? ???? ???? ????? ????. ,TRUE,,,,. >= 0 and . <= 50,Cannot be negative or greater than 50.,???? ?? ?????? ?? 50 ??? ????????,???? (???) ?? ?? ?? ?? ?? ??? ??? ?????.,,,
end group,,,,,,,,,,,,,,,,,,
begin group,b3,Cross border returnee households,??????? ??? ???? ????? ??? ?? ?? ???? ??? ???? ?????? ?????? ,??????? ???,,,,,"${displacement_status} = ""cross_border_returnees""",,,,,,,,,
select_one season_list,cb_return_displace_season,In which season were the majority of your household members forced to leave Afghanistan the last time? ,????? ??? ??  ?????? ????? ??????? ??? ????? ?? ??? ????????? ??? ????? ?? ???? ??? ??? ??? ? ,????? ? ????? ?????? ??? ? ?????? ?? ?????? ??? ??? ?? ????? ??? ?? ????????? ???????,,,,TRUE,,,,,,,,,,
integer,cb_return_displace_year,How many years ago did the majority of your household members forced to leave Afghanistan the last time? ,????? ??? ??  ?????? ????? ??????? ??? ????? ?? ??? ????????? ??? ????? ??? ??? ??? ???? ,?? ???? ???? ????? ? ????? ?????? ??? ????? ??? ?? ????????? ???????,"If it was the most recent ${cb_return_displace_season}, then put 0, then add 1 for each previous year. The current summer counts as the most recent summer.",??? ????? ( ???? ????? _ ???? ???_ ???) ???? ??? ?? 0 ??? ????? ? ???? ??? 1 ?? ???? ?? ??? ??? ????? ??????. ??????? ???? ????? ??????? ????? ?????,?? ??? ??? ???? ??????? ??? ??  ${cb_return_displace_season}? ?? 0 ?????? ?????? ??? ? ?? ????? ??? ????? 1 ?????. ????? ???? ?? ???? ??? ???? ???? ????? ????. ,TRUE,,,,. >= 0 and . <= 50,Cannot be negative or greater than 50.,???? ?? ?????? ?? 50 ??? ????????,???? (???) ?? ?? ?? ?? ?? ??? ??? ?????.,,,
select_one season_list,cb_return_return_season,"In which season did the majority of your household leave its previous location in another country, to return to Afghanistan?",?? ???? ??? ??? ?????? ????? ??????? ??? ???? ??? ??? ?? ?????????  ???? ?? ???? ?? ?? ????? ????????? ??? ??????? ,????? ? ????? ?????? ??? ?? ?? ????? ?? ?? ??? ??? ?? ????? ??? ?? ??? ?????? ??? ?????? ?? ????????? ?? ??????? ??. ,,,,TRUE,,,,,,,,,,
integer,cb_return_return_year,"How many years ago did the majority of your household leave its previous location in another country, to return to Afghanistan?",??? ??? ??? ?????? ????? ??????? ??? ???? ??? ??? ?? ?????????  ???? ?? ???? ?? ?? ????? ??????? ??  ??? ??????? ,????? ? ????? ?????? ??? ?? ?? ????? ?? ?? ???? ???? ????? ??? ?? ??? ?????? ??? ?????? ?? ????????? ?? ??????? ??. ,"If it was the most recent ${cb_return_return_season}, then put 0, then add 1 for each previous year. The current summer counts as the most recent summer.",??? ????? ( ???? ????? _ ???? ???_ ???) ???? ??? ?? 0 ??? ????? ? ???? ??? 1 ?? ???? ?? ??? ??? ????? ??????. ??????? ???? ????? ??????? ????? ?????,?? ??? ??? ???? ??????? ??? ??  ${cb_return_return_season}? ?? 0 ?????? ?????? ??? ? ?? ????? ??? ????? 1 ?????. ????? ???? ?? ???? ??? ???? ???? ????? ????. ,TRUE,,,,. >= 0 and . <= ${cb_return_displace_year},Cannot be negative or greater than 50.,???? ?? ?????? ?? 50 ??? ????????,???? (???) ?? ?? ?? ?? ?? ??? ??? ?????.,,,
select_one displacement_country_list,cb_displacement_country,"Which country did the majority of your household most recently reside in, before arriving in ${survey_village}? ",?????? ????? ??????? ??? ??? ?? ???? ?? ??? ???? ???? ?? ???? ???? ???? ???? ??? ??????,??? ??????? ?? ????? ? ????? ?????? ??? ?? ??? ????? ?? ??????? ????? ??? ?? ?? ????? ??? ?????,,,,TRUE,,,,,,,,,,
select_one cb_return_documentation_list,cb_return_documentation,"For returnee households, do you have documentation that allowed you to stay in the country of your previous residence? If yes, can you show it?",??? ????? ?????? ???? ???? ???? ??? ?? ????? ?? ????? ??????? ??? ??? ??? ???????? ?? ?? ???? ?????,??? ???? ?? ?? ??? ????? ?? ???? ???? ? ??????? ????? ??? ??? ?????? ?? ??? ????? ?? ?? ???? ??? ??? ?????.,,,,TRUE,,,,,,,,,,
select_multiple factors_list,cb_return_push_factors,What factors affected your most recent displacement from Afghanistan to another country?,?? ????? ???? ??? ??? ?? ??? ?? ???? ???? ?????? ??????? ( ????? ??? ??????),??? ????? ?? ?? ???? ?? ?????? ???? ?? ?? ????????? ??? ?? ????? ?? ?? ???? (??? ??????? ????????? ??),Select all that apply.,????? ?????? ????,??? ??? ?? ???? ????? ?????? ???,TRUE,,,,"not(selected(., ""no_answer"") and count-selected(.) > 1)","Cannot select ""I don't know or I don't want to answer"" and other options.","????? ??? "" ?? ??????? ?? ???????? ???? ????"" ?? ???? ????? ?? ?? ?????? ???? ?????????","???? ??? ????? ?? "" ?? ?? ?????? ?? ?? ?? ????? ?? ???? ????? "" ?? (???) ?????? ???. ",,,
select_one factors_list,cb_return_main_push,"If you had to choose a single factor that you consider to have been the final push that made you leave Afghanistan, which of the ones you just named as reasons for leaving, would you choose? ",???? ?? ?? ????? ?? ??? ?????? ??? ???? ???? ??? ?? ???? ????? ?????? ??? ????,?? ???? ????  ???? ?? ???? ???? ??? ??? ?? ???? ?? ?????? ???? ?? ???? ? ????????? ??????? ?? ????? ??? ??? ???? ??? ?? ? ??????? ? ???? ?? ???? ?????????,,,,TRUE,count-selected(${cb_return_push_factors}) > 1,"selected(${cb_return_push_factors}, factors)",,,,,,,,
select_one cb_return_decision_list,cb_return_decision,"When deciding to return to your current location in Afghanistan, did you feel mostly forced to leave your previous location abroad or rather drawn to return to Afghanistan independently? ",????? ?? ????? ???? ?? ??? ?? ????????? ?? ????? ??????. ??? ?? ????? ??? ??? ?? ???? ???? ? ?? ??????? ??? ? ?? ???  ?? ????? ???? ??? ?? ????????? ????????,??? ?? ?? ?????? ???? ?? ?? ????????? ?? ??? ????? ??? ?? ??????? ??? ??? ???? ? ??? ?????? ??? ?? ????? ?? ?? ??? ??????? ??? ????? ?? ?? ????? ???? ????????? ?? ??????? ??? ??????,,,,TRUE,,,,,,,,,,
select_multiple cb_return_forced_list,cb_return_forced_how,What was the reason you felt forced to leave your previous location?,???? ????? ????? ?????? ????? ???? ??? ?? ??? ????? ?? ???? ??? ?,?? ??? ?? ?? ???? ?????? ??? ??? ?????? ??? ???????,,,,TRUE,"selected(${cb_return_decision}, ""forced"") or selected(${cb_return_decision}, ""both"")",,,"not(selected(., ""no_answer"") and count-selected(.) > 1)","Cannot select ""I don't know or I don't want to answer"" and other options.","????? ??? "" ?? ??????? ?? ???????? ???? ????"" ?? ???? ????? ?? ?? ?????? ???? ?????????","???? ??? ????? ?? "" ?? ?? ?????? ?? ?? ?? ????? ?? ???? ????? "" ?? (???) ?????? ???. ",,,
select_multiple cb_return_independent_list,cb_return_independent_why,What was the reason that made you decide to return to Afghanistan independently?,???? ????? ????? ??????? ? ?? ?? ????? ???? ??? ????? ?? ????? ?? ????????? ?????? ?? ??? ?,?? ??? ?? ?? ???? ?????? ???? ?? ????????? ?? ?? ?????? ??? ??? ??????? ???,,,,TRUE,"selected(${cb_return_decision}, ""independent"") or selected(${cb_return_decision}, ""both"")",,,"not(selected(., ""no_answer"") and count-selected(.) > 1)","Cannot select ""I don't know or I don't want to answer"" and other options.","????? ??? "" ?? ??????? ?? ???????? ???? ????"" ?? ???? ????? ?? ?? ?????? ???? ?????????","???? ??? ????? ?? "" ?? ?? ?????? ?? ?? ?? ????? ?? ???? ????? "" ?? (???) ?????? ???. ",,,
end group,,,,,,,,,,,,,,,,,,
begin group,b4,IDP households,??????? ??? ???? ??? ???,????? ?????? ??? ?????,,,,,"${displacement_status} = ""idp""",,,,,,,,,
select_one idp_displace_hamal_list,idp_displace_hamal,"Did the majority of your household forcibly displace from its previous location in Afghanistan, before or after the latest Hamal or Now Ruz?",??? ?????? ????? ??????? ??? ??? ? ?? ??? ?? ????? ? ?? ??? ??? ????? ?? ???? ?????? ?? ????? ???? ????? ???? ?????,??? ????? ? ????? ?????? ??? ?? ????????? ?? ? ??? ?????? ??? ??? ?? ????? ?? ??? ????  ?? ?????? ?? ??? ??? ?????? ????? ,,,,TRUE,,,,,,,,,,
select_one idp_displ_before_hamal_list,idp_displ_before_hamal,Did the majority of your household displace more than 2 months before the latest Hamal or Nowruz or less than 2 months before the latest Hamal or Now Ruz?,??? ????? ???? ?? ?????? ??? ??? ?? ??? ?? ????? ????? ?? ??? ???? ? ?? ????? ?? ?? ??? ???? ??? ??????,??? ????? ? ????? ?????? ??? ? ????? ?? ??? ?????? ??? ??? ?????? ???? ?? ?? ?? ??? ?????? ?????? ?????? ????,,,,TRUE,"selected(${idp_displace_hamal}, ""before_hamal"")",,,,,,,,,
note,recent_idp_note,This is a recent IDP household,??? ?? ??????? ? ??????? ????? ?? ??? ???? ???,?? ????? ? ??????? ???? ?????? ?????? ??? ????? ??,,,,,"selected(${idp_displace_hamal}, ""after_hamal"") or selected(${idp_displ_before_hamal},""less_2_months"")",,,,,,,,,
note,non_recent_idp_note,This is a non-recent IDP household.,??? ?? ??????? ? ??????? ????? ????? ?? ?? ??? ???,?? ????? ?? ???? ?????? ?? ? ???? ??? ?????? ??? ????? ?? ,,,,,"selected(${idp_displ_before_hamal},""more_2_months"")",,,,,,,,,
select_one season_list,idp_displ_season,In which season was the majority of your household forcibly displaced from its previous location in Afghanistan to ${survey_village}?,?? ???? ??? ???  ?????? ????? ??????? ??? ????? ?????? ????? ?? ??? ????? ??? ?? ???? ????????? ?? ????? ???? ??? ???? ? ,????? ? ????? ?????? ???? ?? ??? ??? ?? ????? ??? ?? ?? ???????? ?? ??? ?????? ??? ?????? ,,,,TRUE,"selected(${idp_displ_before_hamal}, ""more_2_months"")",,,,,,,,,
integer,idp_displ_year,How many years ago was the majority of your household forcibly displaced from its previous location in Afghanistan to ${survey_village}?,??? ??? ??? ?????? ????? ??????? ??? ????? ?????? ????? ?? ??? ????? ??? ?? ???? ????????? ?? ????? ???? ??? ???? ? ,????? ? ????? ?????? ???? ?? ???? ???? ????? ??? ?? ?? ???????? ?? ??? ?????? ??? ?????? ,"If it was the most recent ${idp_displ_season}, then put 0, then add 1 for each previous year. The current summer counts as the most recent summer.",??? ????? ( ???? ??? ?????_ ???? ???_ ???) ???? ??? ?? 0 ??? ????? ? ???? ??? 1 ?? ???? ?? ??? ??? ????? ??????. ??????? ???? ????? ??????? ????? ?????,?? ??? ??? ???? ??????? ??? ??   ${idp_displ_season}? ?? 0 ?????? ?????? ??? ? ?? ????? ??? ????? 1 ?????. ????? ???? ?? ???? ??? ???? ???? ????? ????. ,TRUE,"selected(${idp_displ_before_hamal}, ""more_2_months"")",,,"not((selected(${idp_displ_season}, ""summer"") or selected(${idp_displ_season}, ""spring"")) and . = 0) and . >= 0 and . <= 50","Cannot put 0 since you selected summer/spring, this would be less 2 months since the latest Hamal or Now Ruz. Cannot be negative or greater than 50.","??????? ??????? ?? ???? ?? ?????? ?????? 0 ????? ???? ????????? ??? ???? ?? ?? ??? ????? ?? ????? ??? ??? ?? ?? ???. 
???? ?? ????? ?? 50 ??? ????????",??? ?? ???? ? ?????/???? ?????? ??? ?? ??? ????? ?? ??? (?) ?????? ?? ???? ? ??? ??? ?????? ?? ????? ??? ? ????? ?? ??. ???? ??? ????? ?? ???? ?? ?? ?? ??? ??? ?????. ,,,
select_one province_list,idp_prev_province,In which province was the majority of your household residing before arriving in your current location? ,??????? ??? ??? ?? ???? ?? ??? ???? ???? ?? ???? ????? ???? ???? ??????,????? ? ????? ?????? ??? ?? ??? ????? ?? ???? ????? ???? ??? ?? ???? ?? ????? ??? ?? ????? ,,,,TRUE,"selected(${area_origin}, ""no"")",,,,,,,,,
select_one district_list_origin,idp_prev_district,In which district was the majority of your household residing before arriving in your current location? ,??????? ??? ??? ?? ???? ?? ??? ???? ???? ?? ???? ??????? ???? ???? ??????,????? ? ????? ?????? ??? ?? ???? ??????? ?? ???? ????? ???? ??? ?? ???? ?? ????? ??? ?? ????? ,,,,TRUE,,province = ${idp_prev_province},,,,,,,,
