"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"2103","Which country did the majority of your household most recently reside in, before arriving in ${survey_village}? ",NA,"Other","NA",0.0151143283528012,NA,0.0068591995205963,0.0233694571850062,NA,NA
"3102","Which country did the majority of your household most recently reside in, before arriving in ${survey_village}? ",NA,"Pakistan","NA",0.56653239440299,NA,0.527225821380066,0.605838967425913,NA,NA
"412","Which country did the majority of your household most recently reside in, before arriving in ${survey_village}? ",NA,"Turkey","NA",0.0195892698996457,NA,0.0135352369388964,0.0256433028603951,NA,NA
"1104","For returnee households, do you have documentation that allowed you to stay in the country of your previous residence? If yes, can you show it?",NA,"No","NA",0.390451840211276,NA,0.360248907551657,0.420654772870894,NA,NA
"2104","For returnee households, do you have documentation that allowed you to stay in the country of your previous residence? If yes, can you show it?",NA,"Yes - not shown","NA",0.274378873434408,NA,0.247193398635938,0.301564348232879,NA,NA
"3103","For returnee households, do you have documentation that allowed you to stay in the country of your previous residence? If yes, can you show it?",NA,"Yes - shown","NA",0.335169286354316,NA,0.302923134365202,0.367415438343431,NA,NA
"1105","What factors affected your most recent displacement from Afghanistan to another country?",NA,"Active conflict or violence in or close to your community","NA",0.854853904564028,NA,0.823282697717883,0.886425111410172,NA,NA
"2105","What factors affected your most recent displacement from Afghanistan to another country?",NA,"Anticipated conflict or violence in your community","NA",0.180256811793817,NA,0.152629719053524,0.20788390453411,NA,NA
"3104","What factors affected your most recent displacement from Afghanistan to another country?",NA,"Earthquake","NA",0.0285924170355114,NA,0.0167725850509607,0.0404122490200622,NA,NA
"413","What factors affected your most recent displacement from Afghanistan to another country?",NA,"Floods","NA",0.081590118240342,NA,0.0643340081737293,0.0988462283069546,NA,NA
"512","What factors affected your most recent displacement from Afghanistan to another country?",NA,"Avalanche/heavy snowfall","NA",0.0115887814169853,NA,0.00688058026722513,0.0162969825667454,NA,NA
"610","What factors affected your most recent displacement from Afghanistan to another country?",NA,"Drought","NA",0.29425919765641,NA,0.256147104480758,0.332371290832062,NA,NA
"710","What factors affected your most recent displacement from Afghanistan to another country?",NA,"Unemployment/poverty","NA",0.384630178952103,NA,0.346228497014053,0.423031860890153,NA,NA
"810","What factors affected your most recent displacement from Afghanistan to another country?",NA,"Access to basic services","NA",0.0840626267799523,NA,0.0596548872272519,0.108470366332653,NA,NA
"910","What factors affected your most recent displacement from Afghanistan to another country?",NA,"Other","NA",0.0385716980571245,NA,0.0242552877758767,0.0528881083383724,NA,NA
"1106","If you had to choose a single factor that you consider to have been the final push that made you leave Afghanistan, which of the ones you just named as reasons for leaving, would you choose? ",NA,"Active conflict or violence in or close to your community","NA",0.719291239850831,NA,0.673791705978223,0.76479077372344,NA,NA
"2106","If you had to choose a single factor that you consider to have been the final push that made you leave Afghanistan, which of the ones you just named as reasons for leaving, would you choose? ",NA,"Anticipated conflict or violence in your community","NA",0.0482770699054936,NA,0.0125058287072033,0.0840483111037839,NA,NA
"3105","If you had to choose a single factor that you consider to have been the final push that made you leave Afghanistan, which of the ones you just named as reasons for leaving, would you choose? ",NA,"Avalanche/heavy snowfall","NA",0.000348977537949608,NA,-0.000290710973156225,0.000988666049055441,NA,NA
"414","If you had to choose a single factor that you consider to have been the final push that made you leave Afghanistan, which of the ones you just named as reasons for leaving, would you choose? ",NA,"Drought","NA",0.0519196047085735,NA,0.0376735903274267,0.0661656190897203,NA,NA
"513","If you had to choose a single factor that you consider to have been the final push that made you leave Afghanistan, which of the ones you just named as reasons for leaving, would you choose? ",NA,"Earthquake","NA",0.000605977174563668,NA,-0.00058386946509841,0.00179582381422575,NA,NA
"611","If you had to choose a single factor that you consider to have been the final push that made you leave Afghanistan, which of the ones you just named as reasons for leaving, would you choose? ",NA,"Floods","NA",0.00488074593915875,NA,0.00153694125358868,0.00822455062472881,NA,NA
"711","If you had to choose a single factor that you consider to have been the final push that made you leave Afghanistan, which of the ones you just named as reasons for leaving, would you choose? ",NA,"Other","NA",0.000430265905600515,NA,-0.00018345870351105,0.00104399051471208,NA,NA
"811","If you had to choose a single factor that you consider to have been the final push that made you leave Afghanistan, which of the ones you just named as reasons for leaving, would you choose? ",NA,"Unemployment/poverty","NA",0.168046054693149,NA,0.144929469621244,0.191162639765053,NA,NA
"911","If you had to choose a single factor that you consider to have been the final push that made you leave Afghanistan, which of the ones you just named as reasons for leaving, would you choose? ",NA,"Access to basic services","NA",0.00620006428468067,NA,0.000501866669177484,0.0118982619001839,NA,NA
"1107","When deciding to return to your current location in Afghanistan, did you feel mostly forced to leave your previous location abroad or rather drawn to return to Afghanistan independently? ",NA,"Both aspects played a role","NA",0.110753029149857,NA,0.0934920990143477,0.128013959285365,NA,NA
"2107","When deciding to return to your current location in Afghanistan, did you feel mostly forced to leave your previous location abroad or rather drawn to return to Afghanistan independently? ",NA,"Mostly forced to leave previous location abroad","NA",0.603893389570446,NA,0.574730408103158,0.633056371037734,NA,NA
"3106","When deciding to return to your current location in Afghanistan, did you feel mostly forced to leave your previous location abroad or rather drawn to return to Afghanistan independently? ",NA,"Mostly drawn to return to Afghanistan indepedently","NA",0.274414199276193,NA,0.246617744083268,0.302210654469118,NA,NA
"415","When deciding to return to your current location in Afghanistan, did you feel mostly forced to leave your previous location abroad or rather drawn to return to Afghanistan independently? ",NA,"I don't know or I don't want to answer","NA",0.0109393820035046,NA,0.00770750320404015,0.014171260802969,NA,NA
"1108","What was the reason you felt forced to leave your previous location?",NA,"Limited livelihood opportunities in previous location","NA",0.369269871146397,NA,0.331512714143906,0.407027028148887,NA,NA
"2108","What was the reason you felt forced to leave your previous location?",NA,"Limited basic services in previous location","NA",0.211299239810532,NA,0.181668384305523,0.240930095315541,NA,NA
"3107","What was the reason you felt forced to leave your previous location?",NA,"Did not feel safe in previous location","NA",0.243661540249714,NA,0.204793378106234,0.282529702393194,NA,NA
"416","What was the reason you felt forced to leave your previous location?",NA,"Did not feel accepted in previous location","NA",0.46673209259073,NA,0.422000522410632,0.511463662770827,NA,NA
"514","What was the reason you felt forced to leave your previous location?",NA,"Faced eviction in previous location","NA",0.477020733121806,NA,0.435955505061078,0.518085961182534,NA,NA
"612","What was the reason you felt forced to leave your previous location?",NA,"Pressure from security actors or civilian authorities in previous location","NA",0.27757635079796,NA,0.24071625390154,0.31443644769438,NA,NA
"712","What was the reason you felt forced to leave your previous location?",NA,"Other","NA",0.0931446223631278,NA,0.0736582741508771,0.112630970575379,NA,NA
"1109","What was the reason that made you decide to return to Afghanistan independently?",NA,"Security situation in area of return was now stable","NA",0.567055302714636,NA,0.523780069232984,0.610330536196289,NA,NA
"2109","What was the reason that made you decide to return to Afghanistan independently?",NA,"Area of return was now cleared of explosive hazards","NA",0.194185557397881,NA,0.158401431434609,0.229969683361153,NA,NA
"3108","What was the reason that made you decide to return to Afghanistan independently?",NA,"Other family/community members had returned","NA",0.336049643834555,NA,0.297914827094311,0.3741844605748,NA,NA
"417","What was the reason that made you decide to return to Afghanistan independently?",NA,"Livelihood options were available in the area of return","NA",0.233454823716059,NA,0.193872734707232,0.273036912724886,NA,NA
"515","What was the reason that made you decide to return to Afghanistan independently?",NA,"Basic services (water, electricity, education, etc.) were available in the area of return","NA",0.193070000762573,NA,0.148293782638557,0.237846218886588,NA,NA
"613","What was the reason that made you decide to return to Afghanistan independently?",NA,"Emotional desire to return","NA",0.354662837967049,NA,0.30764882692297,0.401676849011128,NA,NA
"713","What was the reason that made you decide to return to Afghanistan independently?",NA,"Was necessary to secure personal housing, land, or property in area of return","NA",0.250013092825556,NA,0.206364904108753,0.293661281542358,NA,NA
"812","What was the reason that made you decide to return to Afghanistan independently?",NA,"Other","NA",0.0977975986225839,NA,0.0676518953781249,0.127943301867043,NA,NA
"dependent.var6","How many years ago was the majority of your household forcibly displaced from its previous location in Afghanistan to ${survey_village}?","na","NA","NA",1.52902121950025,NA,1.39310941785222,1.66493302114828,NA,NA
"1110","idp_displ_year_class",NA,"0","NA",0.210940929622017,NA,0.16140609609338,0.260475763150655,NA,NA
"2110","idp_displ_year_class",NA,"1","NA",0.494580379018345,NA,0.42684462716003,0.56231613087666,NA,NA
"3109","idp_displ_year_class",NA,"2","NA",0.150141678468333,NA,0.12040418204282,0.179879174893846,NA,NA
"418","idp_displ_year_class",NA,"3","NA",0.0640801186276149,NA,0.0490625925734849,0.0790976446817448,NA,NA
"516","idp_displ_year_class",NA,"4+","NA",0.0802568942636896,NA,0.0629822414125318,0.0975315471148473,NA,NA
"1111","In which province was the majority of your household residing before arriving in your current location? ",NA,"Badakhshan","NA",0.0124916760412242,NA,0.00895405998871519,0.0160292920937332,NA,NA
"2111","In which province was the majority of your household residing before arriving in your current location? ",NA,"Badghis","NA",0.219115862117353,NA,0.129151242467082,0.309080481767624,NA,NA
"3110","In which province was the majority of your household residing before arriving in your current location? ",NA,"Baghlan","NA",0.0169932070306094,NA,0.0132121150206905,0.0207742990405284,NA,NA
"419","In which province was the majority of your household residing before arriving in your current location? ",NA,"Balkh","NA",0.0342913939504222,NA,0.0240023880629405,0.044580399837904,NA,NA
"517","In which province was the majority of your household residing before arriving in your current location? ",NA,"Bamyan","NA",0.00442964273911738,NA,0.00246150744400529,0.00639777803422947,NA,NA
"614","In which province was the majority of your household residing before arriving in your current location? ",NA,"Daykundi","NA",0.0123189427475624,NA,0.00588493188637416,0.0187529536087507,NA,NA
"714","In which province was the majority of your household residing before arriving in your current location? ",NA,"Farah","NA",0.0266288916783117,NA,0.0191536721359026,0.0341041112207209,NA,NA
"813","In which province was the majority of your household residing before arriving in your current location? ",NA,"Faryab","NA",0.0658201624668802,NA,0.0455157640330557,0.0861245609007047,NA,NA
"912","In which province was the majority of your household residing before arriving in your current location? ",NA,"Ghazni","NA",0.0420996374333598,NA,0.0202756326311413,0.0639236422355782,NA,NA
"10","In which province was the majority of your household residing before arriving in your current location? ",NA,"Ghor","NA",0.0301125108540931,NA,0.00992274873475422,0.050302272973432,NA,NA
"11","In which province was the majority of your household residing before arriving in your current location? ",NA,"Helmand","NA",0.110587037039906,NA,0.0779447901838503,0.143229283895961,NA,NA
"12","In which province was the majority of your household residing before arriving in your current location? ",NA,"Herat","NA",0.0281846016072854,NA,0.0123452933611401,0.0440239098534307,NA,NA
"13","In which province was the majority of your household residing before arriving in your current location? ",NA,"Jawzjan","NA",0.0311574569100113,NA,0.0244761778668734,0.0378387359531493,NA,NA
"14","In which province was the majority of your household residing before arriving in your current location? ",NA,"Kabul","NA",0.00518057033066701,NA,0.00271788745788764,0.00764325320344639,NA,NA
"15","In which province was the majority of your household residing before arriving in your current location? ",NA,"Kandahar","NA",0.032812764333605,NA,0.0237382326134861,0.0418872960537239,NA,NA
"16","In which province was the majority of your household residing before arriving in your current location? ",NA,"Kapisa","NA",0.00455520178517257,NA,0.0019781634361837,0.00713224013416144,NA,NA
"17","In which province was the majority of your household residing before arriving in your current location? ",NA,"Khost","NA",0.00116377896203691,NA,0.000719293159902278,0.00160826476417153,NA,NA
"18","In which province was the majority of your household residing before arriving in your current location? ",NA,"Kunar","NA",0.0455415488733872,NA,0.0342858622154743,0.0567972355313002,NA,NA
"19","In which province was the majority of your household residing before arriving in your current location? ",NA,"Kunduz","NA",0.0369059758394281,NA,0.0289908625566413,0.0448210891222149,NA,NA
"20","In which province was the majority of your household residing before arriving in your current location? ",NA,"Laghman","NA",0.0378258098498973,NA,0.0161744210729338,0.0594771986268609,NA,NA
"21","In which province was the majority of your household residing before arriving in your current location? ",NA,"Logar","NA",0.0125227700894061,NA,0.00874977096543681,0.0162957692133753,NA,NA
"22","In which province was the majority of your household residing before arriving in your current location? ",NA,"Maidan Wardak","NA",0.0211650835428034,NA,0.0123303253973419,0.0299998416882649,NA,NA
"23","In which province was the majority of your household residing before arriving in your current location? ",NA,"Nangarhar","NA",0.0448702797558754,NA,0.0345462721859142,0.0551942873258365,NA,NA
"24","In which province was the majority of your household residing before arriving in your current location? ",NA,"Nimroz","NA",0.00250244055597549,NA,0.00128925932160974,0.00371562179034123,NA,NA
"25","In which province was the majority of your household residing before arriving in your current location? ",NA,"Nuristan","NA",0.000535676498900789,NA,0.000215003275020561,0.000856349722781017,NA,NA
"26","In which province was the majority of your household residing before arriving in your current location? ",NA,"Paktika","NA",0.00288191534075676,NA,0.000941603398306945,0.00482222728320658,NA,NA
"27","In which province was the majority of your household residing before arriving in your current location? ",NA,"Paktya","NA",0.00802498224502284,NA,0.00525983304500028,0.0107901314450454,NA,NA
"28","In which province was the majority of your household residing before arriving in your current location? ",NA,"Panjsher","NA",0.000289269539769563,NA,4.1672062245384e-05,0.000536867017293742,NA,NA
"29","In which province was the majority of your household residing before arriving in your current location? ",NA,"Parwan","NA",0.00311226558871137,NA,0.00149240275648747,0.00473212842093527,NA,NA
"30","In which province was the majority of your household residing before arriving in your current location? ",NA,"Samangan","NA",0.00791128325953572,NA,0.00533683590383203,0.0104857306152394,NA,NA
"31","In which province was the majority of your household residing before arriving in your current location? ",NA,"Sar-e-Pul","NA",0.0280991811272999,NA,0.0155854007129265,0.0406129615416733,NA,NA
"32","In which province was the majority of your household residing before arriving in your current location? ",NA,"Takhar","NA",0.0356273303647137,NA,0.0248094920186933,0.0464451687107341,NA,NA
"33","In which province was the majority of your household residing before arriving in your current location? ",NA,"Uruzgan","NA",0.0161469890906038,NA,0.00914297648340296,0.0231510016978047,NA,NA
"34","In which province was the majority of your household residing before arriving in your current location? ",NA,"Zabul","NA",0.0180938604102954,NA,0.00860921566426483,0.0275785051563261,NA,NA
"1112","In which district was the majority of your household residing before arriving in your current location? ",NA,"Ab Band","NA",0.00050301386022757,NA,-0.000302282285389972,0.00130831000584511,NA,NA
"2112","In which district was the majority of your household residing before arriving in your current location? ",NA,"Ab Kamari","NA",0.0589386662033525,NA,-0.000844656151388776,0.118721988558094,NA,NA
"3111","In which district was the majority of your household residing before arriving in your current location? ",NA,"Achin","NA",0.00148916611462063,NA,0.000465448234627008,0.00251288399461424,NA,NA
"420","In which district was the majority of your household residing before arriving in your current location? ",NA,"Adraskan","NA",0.000648739990997823,NA,-0.000199886036356456,0.0014973660183521,NA,NA
"518","In which district was the majority of your household residing before arriving in your current location? ",NA,"Ahmadaba","NA",0.000507572171239449,NA,-0.000270355371575579,0.00128549971405448,NA,NA
"615","In which district was the majority of your household residing before arriving in your current location? ",NA,"Ajristan","NA",0.000598899634207982,NA,-0.000237036001697546,0.00143483527011351,NA,NA
"715","In which district was the majority of your household residing before arriving in your current location? ",NA,"Alasay","NA",0.000873775507427605,NA,0.000310997112422411,0.0014365539024328,NA,NA
"814","In which district was the majority of your household residing before arriving in your current location? ",NA,"Ali Abad","NA",0.00250589789676115,NA,0.00111709099000164,0.00389470480352066,NA,NA
"913","In which district was the majority of your household residing before arriving in your current location? ",NA,"Alingar","NA",0.0166103062213012,NA,-0.0032904635573694,0.0365110759999718,NA,NA
"1010","In which district was the majority of your household residing before arriving in your current location? ",NA,"Alishang","NA",0.0143307479721383,NA,0.00624831394938518,0.0224131819948915,NA,NA
"1113","In which district was the majority of your household residing before arriving in your current location? ",NA,"Almar","NA",0.00766207266254096,NA,-0.00402341821588209,0.019347563540964,NA,NA
"1210","In which district was the majority of your household residing before arriving in your current location? ",NA,"Anar Dara","NA",8.1561747410927e-05,NA,1.09035696113553e-05,0.000152219925210499,NA,NA
"1310","In which district was the majority of your household residing before arriving in your current location? ",NA,"Anawa","NA",6.9612231861279e-06,NA,-6.71895202217822e-06,2.0641398394434e-05,NA,NA
"1410","In which district was the majority of your household residing before arriving in your current location? ",NA,"Andar","NA",0.00757753917968916,NA,0.000952207569855668,0.0142028707895226,NA,NA
"1510","In which district was the majority of your household residing before arriving in your current location? ",NA,"Andarab","NA",0.000883788345973668,NA,0.0004027814175602,0.00136479527438714,NA,NA
"1610","In which district was the majority of your household residing before arriving in your current location? ",NA,"Andkhoy","NA",0.0047481212644585,NA,0.00200783871488413,0.00748840381403288,NA,NA
"1710","In which district was the majority of your household residing before arriving in your current location? ",NA,"Aqcha","NA",0.00479768591043363,NA,0.00269530503448726,0.00690006678638,NA,NA
"1810","In which district was the majority of your household residing before arriving in your current location? ",NA,"Aqtash","NA",0.00141708582169163,NA,0.000555736092422945,0.00227843555096031,NA,NA
"1910","In which district was the majority of your household residing before arriving in your current location? ",NA,"Arghanj Khwah","NA",0.000593031838447599,NA,-0.000286121538540637,0.00147218521543584,NA,NA
"2010","In which district was the majority of your household residing before arriving in your current location? ",NA,"Arghandab","NA",0.00107190600262461,NA,0.000372579557889418,0.00177123244735979,NA,NA
"2113","In which district was the majority of your household residing before arriving in your current location? ",NA,"Arghandab (Zabul)","NA",0.00415919121669134,NA,0.000233258969130286,0.00808512346425239,NA,NA
"2210","In which district was the majority of your household residing before arriving in your current location? ",NA,"Arghestan","NA",0.00328076205317351,NA,0.000115657149132548,0.00644586695721448,NA,NA
"2310","In which district was the majority of your household residing before arriving in your current location? ",NA,"Argo","NA",0.000933723912603712,NA,1.97436166916391e-05,0.00184770420851578,NA,NA
"2410","In which district was the majority of your household residing before arriving in your current location? ",NA,"Asad Abad","NA",0.000138081577459393,NA,-0.000132435625046547,0.000408598779965333,NA,NA
"2510","In which district was the majority of your household residing before arriving in your current location? ",NA,"Ashtarlay","NA",0.00143467689987492,NA,8.53442451128458e-05,0.00278400955463699,NA,NA
"2610","In which district was the majority of your household residing before arriving in your current location? ",NA,"Atghar","NA",0.00130910279101721,NA,0.000367631866907327,0.00225057371512709,NA,NA
"2710","In which district was the majority of your household residing before arriving in your current location? ",NA,"Aybak","NA",0.00102898301160451,NA,0.000419803071267462,0.00163816295194157,NA,NA
"2810","In which district was the majority of your household residing before arriving in your current location? ",NA,"Azra","NA",0.00103984346399058,NA,0.000427166292498143,0.00165252063548302,NA,NA
"2910","In which district was the majority of your household residing before arriving in your current location? ",NA,"Bad Pakh","NA",0.000229096064761731,NA,-8.7572029536014e-05,0.000545764159059476,NA,NA
"3010","In which district was the majority of your household residing before arriving in your current location? ",NA,"Baghlan-e-Jadid","NA",0.00625172838304931,NA,0.00393663318389925,0.00856682358219937,NA,NA
"3112","In which district was the majority of your household residing before arriving in your current location? ",NA,"Baghran","NA",0.001166687195453,NA,0.000210654768281139,0.00212271962262486,NA,NA
"3210","In which district was the majority of your household residing before arriving in your current location? ",NA,"Bagram","NA",0.00048527197195025,NA,-0.000301345599176681,0.00127188954307718,NA,NA
"3310","In which district was the majority of your household residing before arriving in your current location? ",NA,"Bagrami","NA",0.000491769945440283,NA,-0.000278281125292359,0.00126182101617292,NA,NA
"3410","In which district was the majority of your household residing before arriving in your current location? ",NA,"Baharak","NA",0.00127372392091178,NA,0.000258684547878623,0.00228876329394494,NA,NA
"35","In which district was the majority of your household residing before arriving in your current location? ",NA,"Baharak Badakhshan","NA",0.000284380674981823,NA,3.19063039018167e-05,0.000536855046061829,NA,NA
"36","In which district was the majority of your household residing before arriving in your current location? ",NA,"Bak","NA",0.00017636980345201,NA,-6.08422579565499e-05,0.00041358186486057,NA,NA
"37","In which district was the majority of your household residing before arriving in your current location? ",NA,"Bakwa","NA",0.00237057186577519,NA,0.0010969321805711,0.00364421155097928,NA,NA
"38","In which district was the majority of your household residing before arriving in your current location? ",NA,"Bala Buluk","NA",0.0033113717697839,NA,0.00144533161005461,0.0051774119295132,NA,NA
"39","In which district was the majority of your household residing before arriving in your current location? ",NA,"Bala Murghab","NA",0.063231653174435,NA,0.0272435025134165,0.0992198038354536,NA,NA
"40","In which district was the majority of your household residing before arriving in your current location? ",NA,"Balkh","NA",0.00100486713874056,NA,0.000363147922845495,0.00164658635463562,NA,NA
"41","In which district was the majority of your household residing before arriving in your current location? ",NA,"Balkhab","NA",0.00315664317123441,NA,0.00123383263167247,0.00507945371079634,NA,NA
"42","In which district was the majority of your household residing before arriving in your current location? ",NA,"Bamyan","NA",0.000309110477767338,NA,9.09150847154759e-05,0.000527305870819201,NA,NA
"43","In which district was the majority of your household residing before arriving in your current location? ",NA,"Bangi","NA",0.000890563407505838,NA,8.83886012268824e-05,0.00169273821378479,NA,NA
"44","In which district was the majority of your household residing before arriving in your current location? ",NA,"Bar Kunar","NA",0.000865192715345763,NA,7.70284743586869e-05,0.00165335695633284,NA,NA
"45","In which district was the majority of your household residing before arriving in your current location? ",NA,"Baraki Barak","NA",0.00183166402639635,NA,0.000617446184117462,0.00304588186867524,NA,NA
"46","In which district was the majority of your household residing before arriving in your current location? ",NA,"Barg-e-Matal","NA",8.2054919904784e-05,NA,-3.97217438190553e-05,0.000203831583628623,NA,NA
"47","In which district was the majority of your household residing before arriving in your current location? ",NA,"Barmal","NA",0.000176941361846792,NA,5.78737270216933e-05,0.000296008996671891,NA,NA
"48","In which district was the majority of your household residing before arriving in your current location? ",NA,"Bati Kot","NA",0.00211787947024058,NA,0.000611443906746624,0.00362431503373454,NA,NA
"49","In which district was the majority of your household residing before arriving in your current location? ",NA,"Bazarak","NA",0.000116643335801476,NA,-4.86693460674701e-05,0.000281956017670422,NA,NA
"50","In which district was the majority of your household residing before arriving in your current location? ",NA,"Behsud","NA",0.000432779965288954,NA,-0.000332071778010964,0.00119763170858887,NA,NA
"51","In which district was the majority of your household residing before arriving in your current location? ",NA,"Bilcheragh","NA",0.00494654275378529,NA,0.00273751703032595,0.00715556847724462,NA,NA
"52","In which district was the majority of your household residing before arriving in your current location? ",NA,"Burka","NA",0.00129498885068863,NA,0.000813899952638155,0.00177607774873911,NA,NA
"53","In which district was the majority of your household residing before arriving in your current location? ",NA,"Chahab","NA",0.00089935585988539,NA,7.02946000669837e-05,0.0017284171197038,NA,NA
"54","In which district was the majority of your household residing before arriving in your current location? ",NA,"Chahar Asyab","NA",0.000179997825097575,NA,-2.98168759509405e-05,0.000389812526146091,NA,NA
"55","In which district was the majority of your household residing before arriving in your current location? ",NA,"Chahar Darah","NA",0.00355880220146923,NA,0.00204291128583102,0.00507469311710745,NA,NA
"56","In which district was the majority of your household residing before arriving in your current location? ",NA,"Chak-e-Wardak","NA",0.00132072720331522,NA,0.00057941587074125,0.0020620385358892,NA,NA
"57","In which district was the majority of your household residing before arriving in your current location? ",NA,"Chakhansur","NA",0.000285901696933846,NA,2.84700094611145e-05,0.000543333384406578,NA,NA
"58","In which district was the majority of your household residing before arriving in your current location? ",NA,"Chal","NA",0.000314418293607753,NA,-0.000141931860772827,0.000770768447988333,NA,NA
"59","In which district was the majority of your household residing before arriving in your current location? ",NA,"Chapa Dara","NA",0.0145423675255935,NA,0.00565085127500626,0.0234338837761808,NA,NA
"60","In which district was the majority of your household residing before arriving in your current location? ",NA,"Chaparhar","NA",0.00376079699628514,NA,0.00151474263935148,0.00600685135321881,NA,NA
"61","In which district was the majority of your household residing before arriving in your current location? ",NA,"Char Bolak","NA",0.00819966464563288,NA,0.00468636170197984,0.0117129675892859,NA,NA
"62","In which district was the majority of your household residing before arriving in your current location? ",NA,"Char Burjak","NA",0.000139765917248283,NA,-0.000107306738500452,0.000386838572997018,NA,NA
"63","In which district was the majority of your household residing before arriving in your current location? ",NA,"Charikar","NA",0.000157685044904349,NA,-5.34033420005406e-05,0.000368773431809238,NA,NA
"64","In which district was the majority of your household residing before arriving in your current location? ",NA,"Charkent","NA",0.0024863821648737,NA,0.00100715101854561,0.0039656133112018,NA,NA
"65","In which district was the majority of your household residing before arriving in your current location? ",NA,"Charkh","NA",0.000597969469743182,NA,2.23891200729026e-05,0.00117354981941346,NA,NA
"66","In which district was the majority of your household residing before arriving in your current location? ",NA,"Charsadra","NA",0.000805276330327397,NA,0.000242583316055205,0.00136796934459959,NA,NA
"67","In which district was the majority of your household residing before arriving in your current location? ",NA,"Chawkay","NA",0.00543051219792677,NA,0.000943139745719316,0.00991788465013423,NA,NA
